timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
519050071,30.657172297585305,-84.20851679613087,67.77227,34.890533,-0.0,-0.016273424,0.026891064,0.0017518878,0.41541156,0.75033146,1.1592019,0.0,2,0,0,0
519257274,30.657172308417817,-84.20851679306756,67.77,34.89058,-0.0,-0.016567187,0.0266606,0.0017687362,0.41534093,0.75052494,1.1593032,0.0,2,0,0,0
519457271,30.657172318524538,-84.20851680247371,67.76844,34.891277,-0.0,-0.016454274,0.024918761,0.0002086547,0.4154737,0.75051105,1.1590621,0.0,2,0,0,0
519664468,30.65717233389032,-84.20851681527405,67.766754,34.892014,-0.0,-0.015922751,0.023770763,-3.1159376e-05,0.41565216,0.75070506,1.1585456,0.0,2,0,0,0
519863668,30.65717235923175,-84.20851683512198,67.764,34.891434,-0.0,-0.014056869,0.022404255,0.0011837787,0.4154214,0.7484198,1.1568187,0.0,2,0,0,0
520063674,30.657172387977305,-84.20851684313793,67.75998,34.889732,-0.0,-0.013113014,0.02274059,0.0028489116,0.41519302,0.74841034,1.1560438,0.0,2,0,0,0
520270878,30.65717240393862,-84.20851684278462,67.75219,34.88433,-0.0,-0.0141304545,0.02284032,0.005651707,0.4154196,0.74857944,1.1568003,0.0,2,0,0,0
520470877,30.657172419663816,-84.20851684155612,67.74806,34.882656,-0.0,-0.01315928,0.024173936,0.0074180937,0.41485015,0.7485723,1.1566198,0.0,2,0,0,0
520670068,30.65717243358337,-84.20851684478454,67.744865,34.881973,-0.0,-0.0126533685,0.023391405,0.0065217833,0.41703334,0.7485825,1.1564654,0.0,2,0,0,0
520870068,30.657172454577537,-84.20851684286873,67.7431,34.88263,-0.0,-0.011330238,0.021093655,0.004327048,0.41734225,0.74857527,1.1568716,0.0,2,0,0,0
521077288,30.657172463118215,-84.20851683925738,67.74024,34.882236,-0.0,-0.008814482,0.018383177,0.00568294,0.414854,0.7487619,1.1570134,0.0,2,0,0,0
521277275,30.65717245917245,-84.20851683432531,67.73867,34.88314,-0.0,-0.015753217,0.017652174,0.0067483396,0.41351914,0.7487434,1.156819,0.0,2,0,0,0
521480504,30.657172452231837,-84.20851683033729,67.73713,34.884174,-0.0,-0.011735616,0.023982463,0.008253579,0.41710865,0.7487413,1.1566621,0.0,2,0,0,0
521688474,30.657172464471987,-84.20851683795941,67.73458,34.884243,-0.0,-0.005715967,0.018684456,0.006069062,0.4175874,0.74900466,1.1569464,0.0,2,0,0,0
521891675,30.65717247786032,-84.20851685263692,67.7385,34.89071,-0.0,-0.008549057,0.013843011,0.009393526,0.41692173,0.74907637,1.1563343,0.0,2,0,0,0
522090868,30.65717249097448,-84.20851687387196,67.74341,34.8981,-0.0,-0.020630587,0.021419488,0.0014228462,0.41618827,0.74907815,1.1567955,0.0,2,0,0,0
522290868,30.657172514889524,-84.20851689738187,67.74416,34.901237,-0.0,-0.0041734977,0.019857172,0.010699269,0.41655874,0.74906325,1.1566335,0.0,2,0,0,0
522498068,30.657172541525224,-84.20851691500788,67.74224,34.901676,-0.0,-0.0065407483,0.010977172,0.0054871035,0.41671675,0.7492333,1.1568125,0.0,2,0,0,0
522698068,30.657172559190077,-84.20851692617327,67.73814,34.89999,-0.0,-0.0058834427,0.014636991,0.012913109,0.41651425,0.7492218,1.1566498,0.0,2,0,0,0
522905316,30.65717259974184,-84.20851693440841,67.73442,34.89869,-0.0,-0.008894411,0.022471903,-0.0027620746,0.41643828,0.7493956,1.1568174,0.0,2,0,0,0
523105275,30.6571726293673,-84.20851694721061,67.731606,34.89827,-0.0,-0.010266592,0.013243772,0.011968672,0.416361,0.7493887,1.1566466,0.0,2,0,0,0
